GrkSortIncl	OGNT	N1904
744	χαρὰν	χαρὰν
745	μεγάλην	μεγάλην
746	σφόδρα	σφόδρα.
751	καὶ	καὶ
752	ἐλθόντες	ἐλθόντες
753	εἰς	εἰς
754	τὴν	τὴν
755	οἰκίαν	οἰκίαν
756	εἶδον	εἶδον
757	τὸ	τὸ
758	παιδίον	παιδίον
759	μετὰ	μετὰ
760	Μαρίας	Μαρίας
761	τῆς	τῆς
762	μητρὸς	μητρὸς
763	αὐτοῦ	αὐτοῦ,
764	καὶ	καὶ
765	πεσόντες	πεσόντες
766	προσεκύνησαν	προσεκύνησαν
767	αὐτῷ	αὐτῷ,
768	καὶ	καὶ
769	ἀνοίξαντες	ἀνοίξαντες
770	τοὺς	τοὺς
771	θησαυροὺς	θησαυροὺς
772	αὐτῶν	αὐτῶν
773	προσήνεγκαν	προσήνεγκαν
774	αὐτῷ	αὐτῷ
775	δῶρα	δῶρα,
776	χρυσὸν	χρυσὸν
777	καὶ	καὶ
778	λίβανον	λίβανον
779	καὶ	καὶ
780	σμύρναν	σμύρναν.
785	Καὶ	Καὶ
786	χρηματισθέντες	χρηματισθέντες
787	κατ᾽	κατ᾽
788	ὄναρ	ὄναρ
789	μὴ	μὴ
790	ἀνακάμψαι	ἀνακάμψαι
791	πρὸς	πρὸς
792	Ἡρῴδην	Ἡρῴδην,
793	δι᾽	δι᾽
794	ἄλλης	ἄλλης
795	ὁδοῦ	ὁδοῦ
796	ἀνεχώρησαν	ἀνεχώρησαν
797	εἰς	εἰς
798	τὴν	τὴν
799	χώραν	χώραν
800	αὐτῶν	αὐτῶν.
805	Ἀναχωρησάντων	Ἀναχωρησάντων
806	δὲ	δὲ
807	αὐτῶν	αὐτῶν,
808	ἰδοὺ	ἰδοὺ
809	ἄγγελος	ἄγγελος
810	κυρίου	κυρίου
811	φαίνεται	φαίνεται
812	κατ᾽	κατ᾽
813	ὄναρ	ὄναρ
814	τῷ	τῷ
815	Ἰωσὴφ	Ἰωσὴφ
816	λέγων	λέγων
817	Ἐγερθεὶς	“Ἐγερθεὶς
818	παράλαβε	παράλαβε
819	τὸ	τὸ
820	παιδίον	παιδίον
821	καὶ	καὶ
822	τὴν	τὴν
823	μητέρα	μητέρα
824	αὐτοῦ	αὐτοῦ
825	καὶ	καὶ
826	φεῦγε	φεῦγε
827	εἰς	εἰς
828	Αἴγυπτον	Αἴγυπτον,
829	καὶ	καὶ
830	ἴσθι	ἴσθι
831	ἐκεῖ	ἐκεῖ
832	ἕως	ἕως
833	ἂν	ἂν
834	εἴπω	εἴπω
835	σοι	σοι·
836	μέλλει	μέλλει
837	γὰρ	γὰρ
838	Ἡρῴδης	Ἡρῴδης
839	ζητεῖν	ζητεῖν
840	τὸ	τὸ
841	παιδίον	παιδίον
842	τοῦ	τοῦ
843	ἀπολέσαι	ἀπολέσαι
844	αὐτό	αὐτό.
849	Ὁ	Ὁ
850	δὲ	δὲ
851	ἐγερθεὶς	ἐγερθεὶς
852	παρέλαβεν	παρέλαβεν
853	τὸ	τὸ
854	παιδίον	παιδίον
855	καὶ	καὶ
856	τὴν	τὴν
857	μητέρα	μητέρα
858	αὐτοῦ	αὐτοῦ
859	νυκτὸς	νυκτὸς
860	καὶ	καὶ
861	ἀνεχώρησεν	ἀνεχώρησεν
862	εἰς	εἰς
863	Αἴγυπτον	Αἴγυπτον,
868	καὶ	καὶ
869	ἦν	ἦν
870	ἐκεῖ	ἐκεῖ
871	ἕως	ἕως
872	τῆς	τῆς
873	τελευτῆς	τελευτῆς
874	Ἡρῴδου	Ἡρῴδου·
875	ἵνα	ἵνα
876	πληρωθῇ	πληρωθῇ
877	τὸ	τὸ
878	ῥηθὲν	ῥηθὲν
879	ὑπὸ	ὑπὸ
880	κυρίου	κυρίου
881	διὰ	διὰ
882	τοῦ	τοῦ
883	προφήτου	προφήτου
884	λέγοντος	λέγοντος
885	Ἐξ	“Ἐξ
886	Αἰγύπτου	Αἰγύπτου
887	ἐκάλεσα	ἐκάλεσα
888	τὸν	τὸν
889	υἱόν	υἱόν
890	μου	μου.”
895	Τότε	Τότε
896	Ἡρῴδης	Ἡρῴδης
897	ἰδὼν	ἰδὼν
898	ὅτι	ὅτι
899	ἐνεπαίχθη	ἐνεπαίχθη
900	ὑπὸ	ὑπὸ
901	τῶν	τῶν
902	μάγων	μάγων
903	ἐθυμώθη	ἐθυμώθη
904	λίαν	λίαν,
905	καὶ	καὶ
906	ἀποστείλας	ἀποστείλας
907	ἀνεῖλεν	ἀνεῖλεν
908	πάντας	πάντας
909	τοὺς	τοὺς
910	παῖδας	παῖδας
911	τοὺς	τοὺς
912	ἐν	ἐν
913	Βηθλέεμ	Βηθλέεμ
914	καὶ	καὶ
915	ἐν	ἐν
916	πᾶσι	πᾶσι
917	τοῖς	τοῖς
918	ὁρίοις	ὁρίοις
919	αὐτῆς	αὐτῆς
920	ἀπὸ	ἀπὸ
921	διετοῦς	διετοῦς
922	καὶ	καὶ
923	κατωτέρω	κατωτέρω,
924	κατὰ	κατὰ
925	τὸν	τὸν
926	χρόνον	χρόνον
927	ὃν	ὃν
928	ἠκρίβωσεν	ἠκρίβωσεν
929	παρὰ	παρὰ
930	τῶν	τῶν
931	μάγων	μάγων.
936	τότε	τότε
937	ἐπληρώθη	ἐπληρώθη
938	τὸ	τὸ
939	ῥηθὲν	ῥηθὲν
940	διὰ	διὰ
941	Ἰερεμίου	Ἰερεμίου
942	τοῦ	τοῦ
943	προφήτου	προφήτου
944	λέγοντος	λέγοντος
949	Φωνὴ	“Φωνὴ
950	ἐν	ἐν
951	Ῥαμὰ	Ῥαμὰ
952	ἠκούσθη	ἠκούσθη,
953	κλαυθμὸς	κλαυθμὸς
954	καὶ	καὶ
955	ὀδυρμὸς	ὀδυρμὸς
956	πολύς	πολύς·
957	Ῥαχὴλ	Ῥαχὴλ
958	κλαίουσα	κλαίουσα
959	τὰ	τὰ
960	τέκνα	τέκνα
961	αὐτῆς	αὐτῆς,
962	καὶ	καὶ
963	οὐκ	οὐκ
964	ἤθελεν	ἤθελεν
965	παρακληθῆναι	παρακληθῆναι
966	ὅτι	ὅτι
967	οὐκ	οὐκ
968	εἰσίν	εἰσίν.”
973	Τελευτήσαντος	Τελευτήσαντος
974	δὲ	δὲ
975	τοῦ	τοῦ
976	Ἡρῴδου	Ἡρῴδου,
977	ἰδοὺ	ἰδοὺ
978	ἄγγελος	ἄγγελος
979	Κυρίου	Κυρίου
980	φαίνεται	φαίνεται
981	κατ᾽	κατ᾽
982	ὄναρ	ὄναρ
983	τῷ	τῷ
984	Ἰωσὴφ	Ἰωσὴφ
985	ἐν	ἐν
986	Αἰγύπτῳ	Αἰγύπτῳ
991	λέγων	λέγων
992	Ἐγερθεὶς	“Ἐγερθεὶς
993	παράλαβε	παράλαβε
994	τὸ	τὸ
995	παιδίον	παιδίον
996	καὶ	καὶ
997	τὴν	τὴν
