OGNTsort	book	chapter	verse	〈StrongNo｜AlternateStrongNo〉
000198	40	1	13	〈G1161｜〉
000199	40	1	13	〈G1080｜〉
000200	40	1	13	〈G3588｜〉
000201	40	1	13	〈G107｜〉
000202	40	1	14	〈G107｜〉
000203	40	1	14	〈G1161｜〉
000204	40	1	14	〈G1080｜〉
000205	40	1	14	〈G3588｜〉
000206	40	1	14	〈G4524｜〉
000207	40	1	14	〈G4524｜〉
000208	40	1	14	〈G1161｜〉
000209	40	1	14	〈G1080｜〉
000210	40	1	14	〈G3588｜〉
000211	40	1	14	〈G885｜〉
000212	40	1	14	〈G885｜〉
000213	40	1	14	〈G1161｜〉
000214	40	1	14	〈G1080｜〉
000215	40	1	14	〈G3588｜〉
000216	40	1	14	〈G1664｜〉
000217	40	1	15	〈G1664｜〉
000218	40	1	15	〈G1161｜〉
000219	40	1	15	〈G1080｜〉
000220	40	1	15	〈G3588｜〉
000221	40	1	15	〈G1648｜〉
000222	40	1	15	〈G1648｜〉
000223	40	1	15	〈G1161｜〉
000224	40	1	15	〈G1080｜〉
