FEATURESsort1	OGNTsort	OpenTextWord_KEY
000668	000668	40.2.13.w12
000669	000669	40.2.13.w13
000670	000670	40.2.13.w14
000671	000671	40.2.13.w15
000672	000672	40.2.13.w16
000673	000673	40.2.13.w17
000674	000674	40.2.13.w18
000675	000675	40.2.13.w19
000676	000676	40.2.13.w20
000677	000677	40.2.13.w21
000678	000678	40.2.13.w22
000679	000679	40.2.13.w23
000680	000680	40.2.13.w24
000681	000681	40.2.13.w25
000682	000682	40.2.13.w26
000683	000683	40.2.13.w27
000684	000684	40.2.13.w28
000685	000685	40.2.13.w29
000686	000686	40.2.13.w30
000687	000687	40.2.13.w31
000688	000688	40.2.13.w32
000689	000689	40.2.13.w33
000690	000690	40.2.13.w34
000691	000691	40.2.13.w35
000692	000692	40.2.13.w36
000693	000693	40.2.13.w37
000694	000694	40.2.13.w38
000695	000695	40.2.13.w39
000696	000696	40.2.13.w40
000697	000697	40.2.14.w1
000698	000698	40.2.14.w2
000699	000699	40.2.14.w3
000700	000700	40.2.14.w4
000701	000701	40.2.14.w5
000702	000702	40.2.14.w6
000703	000703	40.2.14.w7
000704	000704	40.2.14.w8
000705	000705	40.2.14.w9
000706	000706	40.2.14.w10
000707	000707	40.2.14.w11
000708	000708	40.2.14.w12
000709	000709	40.2.14.w13
000710	000710	40.2.14.w14
000711	000711	40.2.14.w15
000712	000712	40.2.15.w1
000713	000713	40.2.15.w2
000714	000714	40.2.15.w3
000715	000715	40.2.15.w4
000716	000716	40.2.15.w5
000717	000717	40.2.15.w6
000718	000718	40.2.15.w7
000719	000719	40.2.15.w8
000720	000720	40.2.15.w9
000721	000721	40.2.15.w10
000722	000722	40.2.15.w11
000723	000723	40.2.15.w12
000724	000724	40.2.15.w13
000725	000725	40.2.15.w14
000726	000726	40.2.15.w15
000727	000727	40.2.15.w16
000728	000728	40.2.15.w17
000729	000729	40.2.15.w18
000730	000730	40.2.15.w19
000731	000731	40.2.15.w20
000732	000732	40.2.15.w21
000733	000733	40.2.15.w22
000734	000734	40.2.15.w23
000735	000735	40.2.16.w1
000736	000736	40.2.16.w2
000737	000737	40.2.16.w3
000738	000738	40.2.16.w4
000739	000739	40.2.16.w5
000740	000740	40.2.16.w6
000741	000741	40.2.16.w7
000742	000742	40.2.16.w8
000743	000743	40.2.16.w9
000744	000744	40.2.16.w10
000745	000745	40.2.16.w11
000746	000746	40.2.16.w12
000747	000747	40.2.16.w13
000748	000748	40.2.16.w14
000749	000749	40.2.16.w15
000750	000750	40.2.16.w16
000751	000751	40.2.16.w17
000752	000752	40.2.16.w18
000753	000753	40.2.16.w19
000754	000754	40.2.16.w20
000755	000755	40.2.16.w21
000756	000756	40.2.16.w22
000757	000757	40.2.16.w23
000758	000758	40.2.16.w24
000759	000759	40.2.16.w25
000760	000760	40.2.16.w26
000761	000761	40.2.16.w27
000762	000762	40.2.16.w28
000763	000763	40.2.16.w29
000764	000764	40.2.16.w30
000765	000765	40.2.16.w31
000766	000766	40.2.16.w32
000767	000767	40.2.16.w33
000768	000768	40.2.16.w34
